iter	Logloss
0	0.6575446574
1	0.6311152337
2	0.6090106066
3	0.5912956931
4	0.5784342607
5	0.5678622681
6	0.5599954777
7	0.5519068076
8	0.5452962198
9	0.5404012892
10	0.5362073569
11	0.5327397066
12	0.5300718607
13	0.5269225453
14	0.5239822134
15	0.5220304345
16	0.5206492525
17	0.5193011784
18	0.5182015123
19	0.5168267757
20	0.5160734583
21	0.5151025714
22	0.5142544594
23	0.5137310728
24	0.5130611202
25	0.5123178074
26	0.511566933
27	0.5111177531
28	0.5106965761
29	0.5102951222
30	0.5098741879
31	0.5095159909
32	0.5090934006
33	0.5088248147
34	0.5085534237
35	0.5081454174
36	0.5078523746
37	0.5075905476
38	0.5072606946
39	0.5070863517
40	0.5067851176
41	0.5064752013
42	0.5062625941
43	0.5061069779
44	0.5059155347
45	0.5057411184
46	0.5056579138
47	0.5054971032
48	0.5053180304
49	0.5051040924
50	0.5049106927
51	0.5047382499
52	0.5045794649
53	0.504416241
54	0.5042866107
55	0.5041124358
56	0.5039501897
57	0.5038056369
58	0.5036166685
59	0.5034567178
60	0.5032749706
61	0.5031219172
62	0.5030761894
63	0.5028895932
64	0.502776806
65	0.5026627269
66	0.5025475967
67	0.5024404242
68	0.5022795071
69	0.5020706017
70	0.5018729488
71	0.5017791183
72	0.5016621399
73	0.5014758133
74	0.5013714583
75	0.5012376697
76	0.501136903
77	0.5009894036
78	0.500912392
79	0.5007629638
80	0.500655713
81	0.5005330231
82	0.5004044921
83	0.5002974519
84	0.5001392914
85	0.5000729581
86	0.4998725636
87	0.499766666
88	0.4995771169
89	0.4994331327
90	0.4992980124
91	0.4991251557
92	0.4989252409
93	0.4987058343
94	0.4986181852
95	0.4985118193
96	0.4983561081
97	0.4981814285
98	0.4979846274
99	0.4978392147
100	0.4976735321
101	0.4975482298
102	0.4974321845
103	0.4973029114
104	0.4971331621
105	0.4969682185
106	0.496968054
107	0.4967855754
108	0.4966442189
109	0.4965414062
110	0.4964543672
111	0.4963082591
112	0.4961167558
113	0.4960173526
114	0.4959002837
115	0.4957867187
116	0.4955866199
117	0.4954415424
118	0.4952496323
119	0.495057581
120	0.4949738658
121	0.4948019673
122	0.4946394797
123	0.4945161179
124	0.4943485226
125	0.494155715
126	0.4939724415
127	0.4938993841
128	0.4937751309
129	0.4936356203
130	0.4935345609
131	0.493355026
132	0.4932373572
133	0.4930758016
134	0.492981957
135	0.4928640672
136	0.4926892049
137	0.4924795736
138	0.492389567
139	0.4922630305
140	0.4920862479
141	0.4919284076
142	0.4917944135
143	0.4916231274
144	0.4914148294
145	0.4912732127
146	0.4911485006
147	0.4910699226
148	0.4909630636
149	0.4907944735
150	0.4907059881
151	0.4906095937
152	0.4905060964
153	0.4904290254
154	0.4903512169
155	0.4902103564
156	0.4900914167
157	0.4899662766
158	0.4898660824
159	0.4897554194
160	0.4896540214
161	0.4895834906
162	0.4894573976
163	0.4893280598
164	0.4892715532
165	0.4891611374
166	0.4890513957
167	0.48893795
168	0.4888227691
169	0.4886180341
170	0.4884850648
171	0.4883981551
172	0.4882435877
173	0.4881455614
174	0.4880417234
175	0.4878923602
176	0.4878004956
177	0.4875885433
178	0.487491173
179	0.4873766638
180	0.4872550482
181	0.4870983131
182	0.4869034997
183	0.4867807677
184	0.4867170798
185	0.4866114113
186	0.4864950719
187	0.4863918138
188	0.4863093845
189	0.4862074929
190	0.4860285539
191	0.4858859774
192	0.485744636
193	0.4856018541
194	0.4855159751
195	0.4854458665
196	0.4853425302
197	0.4851837248
198	0.4851259493
199	0.4849783936
200	0.4848788112
201	0.4847744424
202	0.4846934514
203	0.484563235
204	0.4844613143
205	0.4843933035
206	0.4842907706
207	0.4841522137
208	0.4840090434
209	0.4838823704
210	0.4837931592
211	0.4836860459
212	0.4835652141
213	0.4834687065
214	0.4833862883
215	0.4833031447
216	0.4831618032
217	0.4829912569
218	0.4828719678
219	0.4827079172
220	0.4826389969
221	0.4824914026
222	0.4823989196
223	0.482311313
224	0.4822154093
225	0.4820852375
226	0.4819362047
227	0.4818630417
228	0.4817749331
229	0.4816833207
230	0.4815914866
231	0.4814819291
232	0.4813479283
233	0.4811992376
234	0.4810608235
235	0.4809814486
236	0.4808729414
237	0.4807857948
238	0.4806155535
239	0.4805183596
240	0.4804350713
241	0.4803236873
242	0.4801711895
243	0.4800650227
244	0.4799273236
245	0.4798645644
246	0.4797502376
247	0.4796138083
248	0.4795275625
249	0.4794410832
250	0.4793700081
251	0.4792546632
252	0.4791502963
253	0.479052396
254	0.4790068444
255	0.478888887
256	0.4788094011
257	0.4786993434
258	0.4786534506
259	0.4785930927
260	0.4784503109
261	0.4783853621
262	0.4783196512
263	0.4782256421
264	0.4781881261
265	0.4780600564
266	0.47791789
267	0.4778488998
268	0.4777426677
269	0.4776759928
270	0.4775666053
271	0.477521765
272	0.4774658972
273	0.4773632613
274	0.4772791358
275	0.4771800464
276	0.4771355915
277	0.477037883
278	0.4769474722
279	0.4768918009
280	0.4767543778
281	0.4766634953
282	0.4766028038
283	0.4765464249
284	0.4764335185
285	0.47634459
286	0.4762950927
287	0.4761780345
288	0.4760527297
289	0.4759466244
290	0.4758463825
291	0.4757474743
292	0.4756857909
293	0.4755540725
294	0.4754473142
295	0.4753369368
296	0.4751859417
297	0.475068434
298	0.4749734168
299	0.4748710427
